onset,duration,run_number,trial_number,task,fixation_position,trial_onset,trial_offset
1501.320817,0,1,1,1,3,1485145.0,1491145.0
1504.928617,0,1,2,2,5,1491149.0,1494751.0
1508.528299,0,1,3,2,4,1494752.0,1498352.0
1512.127589,0,1,4,2,3,1498353.0,1501950.0
1515.727073,0,1,5,2,4,1501953.0,1505554.0
1519.335016,0,1,6,2,1,1505557.0,1509159.0
1522.934502,0,1,7,2,3,1509160.0,1512757.0
1526.533815,0,1,8,2,1,1512760.0,1516356.0
1530.133314,0,1,9,2,2,1516359.0,1519955.0
1533.732928,0,1,10,2,3,1519958.0,1523555.0
1537.340585,0,1,11,2,2,1523561.0,1527163.0
1540.940068,0,1,12,2,5,1527166.0,1530762.0
1544.539571,0,1,13,2,3,1530765.0,1534362.0
1548.139035,0,1,14,2,5,1534365.0,1537961.0
1551.738658,0,1,15,2,4,1537963.0,1541561.0
1555.337982,0,1,16,2,3,1541562.0,1545160.0
1558.937478,0,1,17,2,4,1545163.0,1548759.0
1562.536986,0,1,18,2,1,1548760.0,1552360.0
1566.136447,0,1,19,2,3,1552360.0,1555958.0
1569.735903,0,1,20,2,1,1555959.0,1559558.0
1573.335398,0,1,21,2,2,1559560.0,1563158.0
1576.934896,0,1,22,2,3,1563160.0,1566757.0
1580.542677,0,1,23,2,2,1566763.0,1570364.0
1584.142144,0,1,24,2,5,1570367.0,1573964.0
1587.741656,0,1,25,2,3,1573965.0,1577563.0
1593.740819,0,1,26,1,3,1577566.0,1583563.0
1597.348603,0,1,27,3,5,1583566.0,1587171.0
1600.948124,0,1,28,3,4,1587172.0,1590770.0
1604.547545,0,1,29,3,3,1590772.0,1594369.0
1608.147028,0,1,30,3,4,1594370.0,1597969.0
1611.746563,0,1,31,3,1,1597970.0,1601569.0
1615.346009,0,1,32,3,3,1601571.0,1605168.0
1618.945476,0,1,33,3,1,1605171.0,1608767.0
1622.54499,0,1,34,3,2,1608770.0,1612367.0
1626.144478,0,1,35,3,3,1612368.0,1615966.0
1629.743977,0,1,36,3,2,1615969.0,1619566.0
1633.343572,0,1,37,3,5,1619569.0,1623166.0
1636.942977,0,1,38,3,3,1623167.0,1626765.0
1640.542398,0,1,39,3,5,1626766.0,1630364.0
1644.150216,0,1,40,3,4,1630372.0,1633972.0
1647.749671,0,1,41,3,3,1633973.0,1637571.0
1651.349144,0,1,42,3,4,1637572.0,1641170.0
1654.948655,0,1,43,3,1,1641173.0,1644771.0
1658.548162,0,1,44,3,3,1644772.0,1648370.0
1662.147599,0,1,45,3,1,1648372.0,1651969.0
1665.747101,0,1,46,3,2,1651971.0,1655569.0
1669.346598,0,1,47,3,3,1655569.0,1659168.0
1672.94608,0,1,48,3,2,1659169.0,1662767.0
1676.545566,0,1,49,3,5,1662768.0,1666367.0
1680.145042,0,1,50,3,3,1666368.0,1669966.0
1686.152526,0,1,51,1,3,1669971.0,1675974.0
1689.76045,0,1,52,4,5,1675978.0,1679582.0
1693.359792,0,1,53,4,4,1679584.0,1683182.0
1696.959277,0,1,54,4,3,1683184.0,1686780.0
1700.558783,0,1,55,4,4,1686781.0,1690380.0
1704.158223,0,1,56,4,1,1690381.0,1693980.0
1707.75777,0,1,57,4,3,1693981.0,1697579.0
1711.357214,0,1,58,4,1,1697581.0,1701179.0
1714.956702,0,1,59,4,2,1701181.0,1704778.0
1718.556177,0,1,60,4,3,1704779.0,1708377.0
1722.155678,0,1,61,4,2,1708380.0,1711977.0
1725.755148,0,1,62,4,5,1711979.0,1715576.0
1729.354638,0,1,63,4,3,1715579.0,1719176.0
1732.962476,0,1,64,4,5,1719181.0,1722784.0
1736.57026,0,1,65,4,4,1722786.0,1726392.0
1740.169754,0,1,66,4,3,1726393.0,1729991.0
1743.769235,0,1,67,4,4,1729992.0,1733590.0
1747.36871,0,1,68,4,1,1733591.0,1737190.0
1750.968173,0,1,69,4,3,1737191.0,1740789.0
1754.567669,0,1,70,4,1,1740790.0,1744388.0
