onset,duration,run_number,trial_number,task,fixation_position,trial_onset,trial_offset
68511.95787,5.9934272,1,1,1,3,4917353.0,4923387.0
68517.95962,3.5929301,1,2,2,5,4923895.0,4927496.0
68521.56082,3.5928519,1,3,2,4,4927816.0,4931413.0
68525.16203,3.5929027,1,4,2,3,4931739.0,4935340.0
68528.77154,3.5928913,1,5,2,4,4935661.0,4939267.0
68532.37275,3.5928655,1,6,2,1,4939580.0,4943184.0
68535.97394,3.5929241,1,7,2,3,4943499.0,4947102.0
68539.57514,3.5929134,1,8,2,1,4947412.0,4951012.0
68543.17635,3.5929259,1,9,2,2,4951334.0,4954938.0
68546.77753,3.5929276,1,10,2,3,4955254.0,4958856.0
68550.37874,3.5929233,1,11,2,2,4959176.0,4962774.0
68553.97993,3.5928668,1,12,2,5,4963098.0,4966700.0
68557.58119,3.5928551,1,13,2,3,4967018.0,4970618.0
68561.18233,3.5928584,1,14,2,5,4970939.0,4974536.0
68564.78363,3.5928053,1,15,2,4,4974858.0,4978463.0
68568.38471,3.592924,1,16,2,3,4978775.0,4982372.0
68571.98591,3.5928579,1,17,2,4,4982695.0,4986299.0
68575.58717,3.5928612,1,18,2,1,4986617.0,4990216.0
68579.18831,3.5928751,1,19,2,3,4990536.0,4994135.0
68582.7895,3.5928555,1,20,2,1,4994446.0,4998044.0
68586.39071,3.592849,1,21,2,2,4998367.0,5001971.0
68589.99194,3.5928039,1,22,2,3,5002298.0,5005897.0
68593.59308,3.5929353,1,23,2,2,5006218.0,5009815.0
68597.19439,3.5928054,1,24,2,5,5010138.0,5013741.0
68600.79549,3.5929301,1,25,2,3,5014059.0,5017659.0
68604.39669,5.9937302,1,26,1,3,5017980.0,5023978.0
68610.39869,3.5929156,1,27,3,5,5024523.0,5028130.0
68613.99987,3.5929114,1,28,3,4,5028443.0,5032047.0
68617.60107,3.5928772,1,29,3,3,5032363.0,5035966.0
68621.20229,3.5928393,1,30,3,4,5036283.0,5039883.0
68624.80347,3.5929178,1,31,3,1,5040203.0,5043802.0
68628.40466,3.5928704,1,32,3,3,5044123.0,5047719.0
68632.00586,3.5928585,1,33,3,1,5048038.0,5051638.0
68635.60706,3.5929368,1,34,3,2,5051958.0,5055555.0
68639.20827,3.5929159,1,35,3,3,5055878.0,5059482.0
68642.80947,3.5928666,1,36,3,2,5059801.0,5063400.0
68646.41068,3.592839,1,37,3,5,5063721.0,5067318.0
68650.01186,3.5929168,1,38,3,3,5067641.0,5071244.0
68653.61306,3.592865,1,39,3,5,5071551.0,5075154.0
68657.21425,3.5928656,1,40,3,4,5075465.0,5079064.0
68660.81545,3.5928671,1,41,3,3,5079385.0,5082981.0
68664.41671,3.5928127,1,42,3,4,5083316.0,5086916.0
68668.01784,3.5928718,1,43,3,1,5087226.0,5090826.0
68671.61921,3.5927484,1,44,3,3,5091147.0,5094752.0
